"dataset","variable","statistic","value","missing_fraction"
"clean_v1","baseline_fitness","mean",0.0115181966800503,0
"clean_v1","individual_susceptibility","mean",0.00649892153866602,0
"clean_v1","bone_remodeling","mean",0.154591232838813,0
"clean_v1","hydration","mean",0.0018687451958717,0
"clean_v1","urine_concentration","mean",0.134613400429814,0
"clean_v1","urine_chemistry_risk","mean",0.235050783816757,0
"clean_v1","selected_astronaut","proportion_1",1,0
"clean_v1","altered_gravity","proportion_1",0.7025,0
"clean_v1","hostile_closed_environment","proportion_1",0.6504,0
"clean_v1","co2_exposure","proportion_1",0.356,0
"clean_v1","urinary_retention","proportion_1",0.1349,0
"clean_v1","resistive_exercise","proportion_1",0.6497,0
"clean_v1","bisphosphonate","proportion_1",0.1736,0
"clean_v1","adequate_water_intake","proportion_1",0.602,0
"clean_v1","potassium_citrate","proportion_1",0.1466,0
"clean_v1","thiazide","proportion_1",0.1022,0
"clean_v1","mineralized_renal_material","proportion_1",0.1411,0
"clean_v1","nephrolithiasis","proportion_1",0.0957,0
"clean_v1","ureterolithiasis","proportion_1",0.0733,0
"clean_v1","impaired_urine_flow","proportion_1",0.0988,0
"clean_v1","renal_colic","proportion_1",0.0589,0
"clean_v1","hydronephrosis","proportion_1",0.0541,0
"clean_v1","infection","proportion_1",0.045,0
"clean_v1","sepsis","proportion_1",0.0135,0
"clean_v1","renal_failure","proportion_1",0.0124,0
"clean_v1","medical_illness","proportion_1",0.1597,0
"clean_v1","individual_readiness_loss","proportion_1",0.0808,0
"clean_v1","evacuation","proportion_1",0.0116,0
"clean_v1","crew_capability_loss","proportion_1",0.0596,0
"clean_v1","task_performance_loss","proportion_1",0.0493,0
"clean_v1","loss_mission_objectives","proportion_1",0.0233,0
"clean_v1","loss_mission","proportion_1",0.0078,0
"clean_v1","loss_crew_life","proportion_1",0.0024,0
"clean_v1","long_term_health_outcome","proportion_1",0.0257,0
