"comparison","status","from","to"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Bisphosphonates","Bone Formation"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Altered Gravity","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Bisphosphonates","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Bone Fracture (Risk)","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Medical Prevention Capability","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Nutrients","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Resistive Exercise","Bone Remodeling"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Altered Gravity","Bone Resorption"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Bisphosphonates","Bone Resorption"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Medical Prevention Capability","Bone Resorption"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Nutrients","Bone Resorption"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","HSI Processes","Crew Health and Performance System"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","HSIA (Risk)","Crew Health and Performance System"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Infection","Evacuation"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Medical Illness","Evacuation"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Sepsis","Evacuation"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Urine Flow","Hydronephrosis"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Infection","Individual Readiness"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Medical Illness","Individual Readiness"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Renal Colic","Individual Readiness"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Sepsis","Individual Readiness"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Medications","Infection"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Percutaneous Nephrostomy","Infection"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Urine Flow","Infection"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Infection","Long Term Health Outcomes"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Medical Illness","Long Term Health Outcomes"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Renal Failure","Long Term Health Outcomes"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Infection","Loss of Crew Life"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","missing_from_candidate","Medical Illness","Loss of Crew Life"
"Existing SA-07566 source vs Robert renal DAG (strict labels)","extra_in_candidate","Sepsis","Loss of Crew Life"
