"method","variable","source_node","distance","structural_role","raw_importance","normalized_importance","rank"
"Interventional truth","altered_gravity","Altered Gravity",4,"upstream_root",0.0099,0.0223759153783564,16
"Interventional truth","astronaut_selection","Astronaut Selection",2,"upstream_root",0.0282,0.0637374559262273,5
"Interventional truth","bisphosphonates","Bisphosphonates",4,"intermediate_ancestor",0.01156,0.0261278365428081,13
"Interventional truth","bone_fracture_risk","Bone Fracture (Risk)",4,"upstream_root",0.00978,0.022104692161649,17
"Interventional truth","bone_remodeling","Bone Remodeling",3,"intermediate_ancestor",0.02344,0.0529789349968357,6
"Interventional truth","co2_risk","CO2 (Risk)",3,"upstream_root",0.01698,0.03837808516409,11
"Interventional truth","crew_health_and_performance_system","Crew Health and Performance System",4,"intermediate_ancestor",0.00612,0.0138323840520749,19
"Interventional truth","distance_from_earth","Distance from Earth",6,"upstream_root",2e-04,0.00045203869451225,27
"Interventional truth","food_and_nutrition_risk","Food and Nutrition (Risk)",5,"upstream_root",0.00598,0.0135159569659163,20
"Interventional truth","hostile_closed_environment","Hostile Closed Environment",5,"upstream_root",0.0059,0.0133351414881114,21
"Interventional truth","hsia_risk","HSIA (Risk)",5,"upstream_root",0.00086,0.00194376638640268,26
"Interventional truth","humidity","Humidity",5,"intermediate_ancestor",0.00578,0.013063918271404,22
"Interventional truth","hydration","Hydration",4,"intermediate_ancestor",0.01182,0.026715486845674,12
"Interventional truth","individual_factors","Individual Factors",1,"direct_parent",0.04534,0.102477172045927,3
"Interventional truth","k_plus_citrate","K+ Citrate",3,"intermediate_ancestor",0.01774,0.0400958322032366,8
"Interventional truth","medical_prevention_capability","Medical Prevention Capability",3,"intermediate_ancestor",0.0325,0.0734562878582407,4
"Interventional truth","medical_treatment_capability","Medical Treatment Capability",6,"intermediate_ancestor",0.00096,0.0021697857336588,25
"Interventional truth","microbiome","Microbiome",3,"intermediate_ancestor",0.01748,0.0395081819003707,10
"Interventional truth","microhost_risk","Microhost (Risk)",4,"upstream_root",0.00954,0.0215622457282343,18
"Interventional truth","mineralized_renal_material","Mineralized Renal Material",1,"direct_parent",0.06182,0.139725160473737,1
"Interventional truth","nutrients","Nutrients",4,"intermediate_ancestor",0.01084,0.024500497242564,15
"Interventional truth","pharm_risk","Pharm (Risk)",4,"upstream_root",0.0048,0.010848928668294,24
"Interventional truth","resistive_exercise","Resistive Exercise",4,"intermediate_ancestor",0.01122,0.0253593707621372,14
"Interventional truth","thiazides","Thiazides",3,"intermediate_ancestor",0.01764,0.0398698128559805,9
"Interventional truth","urine_chemistry","Urine Chemistry",2,"intermediate_ancestor",0.05084,0.114908236145014,2
"Interventional truth","urine_concentration","Urine Concentration",3,"intermediate_ancestor",0.01946,0.043983364976042,7
"Interventional truth","vehicle_design","Vehicle Design",5,"intermediate_ancestor",6e-05,0.000135611608353675,28
"Interventional truth","water_intake","Water Intake",5,"intermediate_ancestor",0.00568,0.0128378989241479,23
"Ordinary TreeSHAP","altered_gravity","Altered Gravity",4,"upstream_root",0.00182564633905713,0.00219074048274299,18
"Ordinary TreeSHAP","astronaut_selection","Astronaut Selection",2,"upstream_root",0.0183845419596764,0.0220610966462163,6
"Ordinary TreeSHAP","bisphosphonates","Bisphosphonates",4,"intermediate_ancestor",0.00230278593517141,0.00276329881825667,17
"Ordinary TreeSHAP","bone_fracture_risk","Bone Fracture (Risk)",4,"upstream_root",0.00483403334146715,0.00580074700642776,14
"Ordinary TreeSHAP","bone_remodeling","Bone Remodeling",3,"intermediate_ancestor",0.0167232118701577,0.0200675325015926,7
"Ordinary TreeSHAP","co2_risk","CO2 (Risk)",3,"upstream_root",0,0,24.5
"Ordinary TreeSHAP","crew_health_and_performance_system","Crew Health and Performance System",4,"intermediate_ancestor",0.000602879817051871,0.000723444181487163,20
