"variable","source_node","distribution","contrast_low","contrast_high","contrast_definition"
"individual_factors","Individual Factors","continuous",-0.792330021990903,0.315895207944925,"do(X=observed Q75) versus do(X=observed Q25)"
"mineralized_renal_material","Mineralized Renal Material","continuous",-1.1174547265957,0.495953289160812,"do(X=observed Q75) versus do(X=observed Q25)"
"astronaut_selection","Astronaut Selection","binary",0,1,"do(X=1) versus do(X=0)"
"urine_chemistry","Urine Chemistry","continuous",-1.54894371304069,0.535873404209432,"do(X=observed Q75) versus do(X=observed Q25)"
"bone_remodeling","Bone Remodeling","continuous",-1.15168353876958,0.42325598882258,"do(X=observed Q75) versus do(X=observed Q25)"
"co2_risk","CO2 (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"k_plus_citrate","K+ Citrate","binary",0,1,"do(X=1) versus do(X=0)"
"medical_prevention_capability","Medical Prevention Capability","binary",0,1,"do(X=1) versus do(X=0)"
"microbiome","Microbiome","continuous",-0.326316213082709,0.77032371274764,"do(X=observed Q75) versus do(X=observed Q25)"
"thiazides","Thiazides","binary",0,1,"do(X=1) versus do(X=0)"
"urine_concentration","Urine Concentration","continuous",-0.213360652158017,1.06448085423401,"do(X=observed Q75) versus do(X=observed Q25)"
"altered_gravity","Altered Gravity","binary",0,1,"do(X=1) versus do(X=0)"
"bisphosphonates","Bisphosphonates","binary",0,1,"do(X=1) versus do(X=0)"
"bone_fracture_risk","Bone Fracture (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"crew_health_and_performance_system","Crew Health and Performance System","binary",0,1,"do(X=1) versus do(X=0)"
"hydration","Hydration","continuous",0.122295407179331,1.35336076570833,"do(X=observed Q75) versus do(X=observed Q25)"
"microhost_risk","Microhost (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"nutrients","Nutrients","continuous",-0.366921052900922,0.745211160379609,"do(X=observed Q75) versus do(X=observed Q25)"
"pharm_risk","Pharm (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"resistive_exercise","Resistive Exercise","binary",0,1,"do(X=1) versus do(X=0)"
"food_and_nutrition_risk","Food and Nutrition (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"hsia_risk","HSIA (Risk)","binary",0,1,"do(X=1) versus do(X=0)"
"hostile_closed_environment","Hostile Closed Environment","binary",0,1,"do(X=1) versus do(X=0)"
"humidity","Humidity","binary",0,1,"do(X=1) versus do(X=0)"
"vehicle_design","Vehicle Design","binary",0,1,"do(X=1) versus do(X=0)"
"water_intake","Water Intake","binary",0,1,"do(X=1) versus do(X=0)"
"distance_from_earth","Distance from Earth","binary",0,1,"do(X=1) versus do(X=0)"
"medical_treatment_capability","Medical Treatment Capability","binary",0,1,"do(X=1) versus do(X=0)"
