"variable","source_node","distance","total_effect_risk_difference","absolute_total_effect","paired_mc_standard_error","risk_high","risk_low","normalized_truth"
"mineralized_renal_material","Mineralized Renal Material",1,0.06182,0.06182,0.00107702783240687,0.1067,0.04488,0.139725160473737
"urine_chemistry","Urine Chemistry",2,0.05084,0.05084,0.000982407853441639,0.1047,0.05386,0.114908236145014
"individual_factors","Individual Factors",1,0.04534,0.04534,0.000930431621377972,0.10244,0.0571,0.102477172045927
"medical_prevention_capability","Medical Prevention Capability",3,-0.0325,0.0325,0.000793024323556065,0.06512,0.09762,0.0734562878582407
"astronaut_selection","Astronaut Selection",2,-0.0282,0.0282,0.000740341922440734,0.06448,0.09268,0.0637374559262273
"bone_remodeling","Bone Remodeling",3,0.02344,0.02344,0.000676624330341208,0.09238,0.06894,0.0529789349968357
"urine_concentration","Urine Concentration",3,0.01946,0.01946,0.000617765166285712,0.0917,0.07224,0.043983364976042
"k_plus_citrate","K+ Citrate",3,-0.01774,0.01774,0.000590349742319216,0.0723,0.09004,0.0400958322032366
"thiazides","Thiazides",3,-0.01764,0.01764,0.000588713461431615,0.072,0.08964,0.0398698128559805
"microbiome","Microbiome",3,0.01748,0.01748,0.000586085200220274,0.0912,0.07372,0.0395081819003707
"co2_risk","CO2 (Risk)",3,0.01698,0.01698,0.00057778912139757,0.09342,0.07644,0.03837808516409
"hydration","Hydration",4,0.01182,0.01182,0.000483332622743887,0.08836,0.07654,0.026715486845674
"bisphosphonates","Bisphosphonates",4,-0.01156,0.01156,0.000478050100552204,0.07556,0.08712,0.0261278365428081
"resistive_exercise","Resistive Exercise",4,-0.01122,0.01122,0.000471048479175334,0.07606,0.08728,0.0253593707621372
"nutrients","Nutrients",4,0.01084,0.01084,0.00046309197475614,0.08802,0.07718,0.024500497242564
"altered_gravity","Altered Gravity",4,0.0099,0.0099,0.000442768247364711,0.08902,0.07912,0.0223759153783564
"bone_fracture_risk","Bone Fracture (Risk)",4,0.00978,0.00978,0.000440103289942391,0.08882,0.07904,0.022104692161649
"microhost_risk","Microhost (Risk)",4,0.00954,0.00954,0.000434722379997802,0.08874,0.0792,0.0215622457282343
"crew_health_and_performance_system","Crew Health and Performance System",4,-0.00612,0.00612,0.000352212142135761,0.0792,0.08532,0.0138323840520749
"food_and_nutrition_risk","Food and Nutrition (Risk)",5,0.00598,0.00598,0.000344800188142923,0.08668,0.0807,0.0135159569659163
"hostile_closed_environment","Hostile Closed Environment",5,0.0059,0.0059,0.000342499848354598,0.08638,0.08048,0.0133351414881114
"humidity","Humidity",5,0.00578,0.00578,0.000339019366235343,0.08602,0.08024,0.013063918271404
"water_intake","Water Intake",5,0.00568,0.00568,0.000336090778124338,0.08592,0.08024,0.0128378989241479
"pharm_risk","Pharm (Risk)",4,-0.0048,0.0048,0.000316766801960269,0.07924,0.08404,0.010848928668294
"medical_treatment_capability","Medical Treatment Capability",6,0.00096,0.00096,0.000138498922880406,0.0831,0.08214,0.0021697857336588
"hsia_risk","HSIA (Risk)",5,-0.00086,0.00086,0.000156159199901621,0.08198,0.08284,0.00194376638640268
"distance_from_earth","Distance from Earth",6,2e-04,2e-04,7.48285506089736e-05,0.08262,0.08242,0.00045203869451225
"vehicle_design","Vehicle Design",5,6e-05,6e-05,0.000192874757325681,0.08242,0.08236,0.000135611608353675
