"source_node","variable","simcausal_node"
"Altered Gravity","altered_gravity","altered.gravity"
"Astronaut Selection","astronaut_selection","astronaut.selection"
"Bisphosphonates","bisphosphonates","bisphosphonates"
"Bone Fracture (Risk)","bone_fracture_risk","bone.fracture.risk"
"Bone Remodeling","bone_remodeling","bone.remodeling"
"CO2 (Risk)","co2_risk","co2.risk"
"Crew Capability","crew_capability","crew.capability"
"Crew Health and Performance System","crew_health_and_performance_system","crew.health.and.performance.system"
"Detect Long Term Health Outcomes","detect_long_term_health_outcomes","detect.long.term.health.outcomes"
"Detect MRM/Stone","detect_mrm_stone","detect.mrm.stone"
"Distance from Earth","distance_from_earth","distance.from.earth"
"Evacuation","evacuation","evacuation"
"Flight Recertification","flight_recertification","flight.recertification"
"Food and Nutrition (Risk)","food_and_nutrition_risk","food.and.nutrition.risk"
"HSIA (Risk)","hsia_risk","hsia.risk"
"Hostile Closed Environment","hostile_closed_environment","hostile.closed.environment"
"Humidity","humidity","humidity"
"Hydration","hydration","hydration"
"Individual Factors","individual_factors","individual.factors"
"Individual Readiness","individual_readiness","individual.readiness"
"K+ Citrate","k_plus_citrate","k.plus.citrate"
"Long Term Health Outcomes","long_term_health_outcomes","long.term.health.outcomes"
"Loss of Crew Life","loss_of_crew_life","loss.of.crew.life"
"Loss of Mission","loss_of_mission","loss.of.mission"
"Loss of Mission Objectives","loss_of_mission_objectives","loss.of.mission.objectives"
"Medical Illness","medical_illness","medical.illness"
"Medical Monitoring Capability","medical_monitoring_capability","medical.monitoring.capability"
"Medical Prevention Capability","medical_prevention_capability","medical.prevention.capability"
"Medical Treatment Capability","medical_treatment_capability","medical.treatment.capability"
"Medications","medications","medications"
"Microbiome","microbiome","microbiome"
"Microhost (Risk)","microhost_risk","microhost.risk"
"Mineralized Renal Material","mineralized_renal_material","mineralized.renal.material"
"Nephrolithiasis","nephrolithiasis","nephrolithiasis"
"Nutrients","nutrients","nutrients"
"Percutaneous Nephrostomy","percutaneous_nephrostomy","percutaneous.nephrostomy"
"Pharm (Risk)","pharm_risk","pharm.risk"
"Resistive Exercise","resistive_exercise","resistive.exercise"
"Surveillance","surveillance","surveillance"
"Tamsulosin","tamsulosin","tamsulosin"
"Task Performance","task_performance","task.performance"
"Thiazides","thiazides","thiazides"
"Ultrasound","ultrasound","ultrasound"
"Ultrasound Manipulation","ultrasound_manipulation","ultrasound.manipulation"
"Ureterolithiasis","ureterolithiasis","ureterolithiasis"
"Urinary Retention (Risk)","urinary_retention_risk","urinary.retention.risk"
"Urine Chemistry","urine_chemistry","urine.chemistry"
"Urine Concentration","urine_concentration","urine.concentration"
"Urine Flow","urine_flow","urine.flow"
"Vehicle Design","vehicle_design","vehicle.design"
"Water Intake","water_intake","water.intake"
