method,variable,raw_importance,normalized_importance
Interventional truth,Genetics,0.94,0.18287937743190658
Interventional truth,Diet,0.98,0.19066147859922178
Interventional truth,Environment,0.8200000000000001,0.15953307392996108
Interventional truth,Metabolism,1.0,0.19455252918287935
Interventional truth,Inflammation,0.8,0.1556420233463035
Interventional truth,Perfusion,0.6,0.11673151750972761
Interventional truth,LabProxy,0.0,0.0
Interventional truth,MonitorProxy,0.0,0.0
Ordinary SHAP,Genetics,0.015531411876945641,0.009732255349016661
Ordinary SHAP,Diet,0.022154605106125023,0.013882464502115768
Ordinary SHAP,Environment,0.011806915228562502,0.007398420362486782
Ordinary SHAP,Metabolism,0.21335492631211306,0.1336919424513041
Ordinary SHAP,Inflammation,0.14680433992406505,0.09199017666936107
Ordinary SHAP,Perfusion,0.1272657985521755,0.07974698363030361
Ordinary SHAP,LabProxy,0.6215636500432583,0.38948269518671996
Ordinary SHAP,MonitorProxy,0.4373880994811226,0.27407506184869207
Structural Causal SHAP,Genetics,0.48551721172632784,0.20237035490993013
Structural Causal SHAP,Diet,0.4691659731795539,0.19555493031115656
Structural Causal SHAP,Environment,0.38320285129847953,0.15972430049191041
Structural Causal SHAP,Metabolism,0.15214760182756032,0.06341724543823928
Structural Causal SHAP,Inflammation,0.12187088193930365,0.05079748572362648
Structural Causal SHAP,Perfusion,0.1092881547422945,0.04555282928901817
Structural Causal SHAP,LabProxy,0.37934547418948644,0.1581164918381394
Structural Causal SHAP,MonitorProxy,0.2986137028710304,0.12446636199797963
