method,variable,raw_importance,normalized_importance,source_node,distance,structural_role,rank
Structural intervention-propagating SHAP prototype,altered_gravity,0.04496153781656176,0.017479214710037588,Altered Gravity,4,upstream_root,19.0
Structural intervention-propagating SHAP prototype,astronaut_selection,0.19004227535333484,0.07388069661757499,Astronaut Selection,2,upstream_root,5.0
Structural intervention-propagating SHAP prototype,bisphosphonates,0.06700824748259038,0.02605007751002898,Bisphosphonates,4,intermediate_ancestor,13.0
Structural intervention-propagating SHAP prototype,bone_fracture_risk,0.056565972277894616,0.021990546203318515,Bone Fracture (Risk),4,upstream_root,16.0
Structural intervention-propagating SHAP prototype,bone_remodeling,0.1108335229801014,0.04308755970809948,Bone Remodeling,3,intermediate_ancestor,9.0
Structural intervention-propagating SHAP prototype,co2_risk,0.08681786933448166,0.03375125167997285,CO2 (Risk),3,upstream_root,11.0
Structural intervention-propagating SHAP prototype,crew_health_and_performance_system,0.02755794022232294,0.010713404778938207,Crew Health and Performance System,4,intermediate_ancestor,22.0
Structural intervention-propagating SHAP prototype,distance_from_earth,0.0008409789297729731,0.00032693835651468185,Distance from Earth,6,upstream_root,28.0
Structural intervention-propagating SHAP prototype,food_and_nutrition_risk,0.01621089514810592,0.006302135796415653,Food and Nutrition (Risk),5,upstream_root,25.0
Structural intervention-propagating SHAP prototype,hostile_closed_environment,0.04341802676208317,0.016879160476158388,Hostile Closed Environment,5,upstream_root,20.0
Structural intervention-propagating SHAP prototype,hsia_risk,0.02321046043653041,0.009023281702333286,HSIA (Risk),5,upstream_root,24.0
Structural intervention-propagating SHAP prototype,humidity,0.04626675741747022,0.01798663093190055,Humidity,5,intermediate_ancestor,18.0
Structural intervention-propagating SHAP prototype,hydration,0.10245102166663855,0.03982878459985088,Hydration,4,intermediate_ancestor,10.0
Structural intervention-propagating SHAP prototype,individual_factors,0.28121971676591784,0.10932677236490766,Individual Factors,1,direct_parent,2.0
Structural intervention-propagating SHAP prototype,k_plus_citrate,0.11592493543867022,0.04506689350899771,K+ Citrate,3,intermediate_ancestor,8.0
Structural intervention-propagating SHAP prototype,medical_prevention_capability,0.224159513018094,0.08714408909513481,Medical Prevention Capability,3,intermediate_ancestor,3.0
Structural intervention-propagating SHAP prototype,medical_treatment_capability,0.013804349466226995,0.005366568849068472,Medical Treatment Capability,6,intermediate_ancestor,26.0
Structural intervention-propagating SHAP prototype,microbiome,0.051128619466908276,0.019876724882855402,Microbiome,3,intermediate_ancestor,17.0
Structural intervention-propagating SHAP prototype,microhost_risk,0.024474975652992725,0.009514873717331333,Microhost (Risk),4,upstream_root,23.0
Structural intervention-propagating SHAP prototype,mineralized_renal_material,0.29245145432651043,0.11369321448237625,Mineralized Renal Material,1,direct_parent,1.0
Structural intervention-propagating SHAP prototype,nutrients,0.07412439584732056,0.02881654616781995,Nutrients,4,intermediate_ancestor,12.0
Structural intervention-propagating SHAP prototype,pharm_risk,0.028773263795301318,0.01118587308642644,Pharm (Risk),4,upstream_root,21.0
Structural intervention-propagating SHAP prototype,resistive_exercise,0.06501298258081079,0.02527439977934511,Resistive Exercise,4,intermediate_ancestor,14.0
Structural intervention-propagating SHAP prototype,thiazides,0.13392300333362073,0.05206380928143361,Thiazides,3,intermediate_ancestor,7.0
Structural intervention-propagating SHAP prototype,urine_chemistry,0.21718686260282993,0.08443340659571327,Urine Chemistry,2,intermediate_ancestor,4.0
Structural intervention-propagating SHAP prototype,urine_concentration,0.16094947897363454,0.06257060227625398,Urine Concentration,3,intermediate_ancestor,6.0
Structural intervention-propagating SHAP prototype,vehicle_design,0.010144804953597486,0.003943886988448728,Vehicle Design,5,intermediate_ancestor,27.0
Structural intervention-propagating SHAP prototype,water_intake,0.06282205367460847,0.02442265585274321,Water Intake,5,intermediate_ancestor,15.0
